ID_REF	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
A_24_P921327	164.48842159846188	-0.003209741385872235	0.040772801123937524	1.359676825327561e-13	2.1441057630165383e-10	TRUE
A_24_P182696	73.15428738755037	-0.003212503572862814	0.04077276439165658	2.288872692249132e-10	7.218752337093415e-8	TRUE
A_24_P570392	15.855565513243182	-0.0032154091826813143	0.04077320730978939	1.7195337361022036e-5	0.001766939428074946	TRUE
A_23_P420236	70.64446951318003	-0.0032185878880993	0.0407734608711853	2.7264411431253384e-10	8.4048185615142e-8	TRUE
A_23_P68219	54.91446392744767	-0.003225683110129147	0.040774111205022306	2.156603358433335e-9	4.210511318846035e-7	TRUE
A_24_P933720	99.67685007716487	-0.003226312112465515	0.04077460110894203	2.3468590024486896e-11	1.2496262220830685e-8	TRUE
A_32_P361884	288.669614709829	-0.003237991035007667	0.040776301143467655	3.2987536380771745e-16	2.2541483193527357e-12	TRUE
A_23_P139725	147.14313021271542	-0.003239088904763221	0.040776271155082665	3.3618123542659757e-13	4.0995142669440685e-10	TRUE
A_24_P912021	12.164199996795455	-0.003243941309029673	0.04077626384081793	7.296015577911903e-5	0.006722171656053664	TRUE
A_23_P23698	71.50953466212961	-0.0032579060710077033	0.040778123642049406	2.200964143889749e-10	6.995312395308503e-8	TRUE
A_23_P345808	168.27764168047926	-0.0032625105797014853	0.040779134260785804	8.619716050261543e-14	1.4725348252530135e-10	TRUE
A_23_P348831	104.41897295388866	-0.00326558228483764	0.04077932460890233	6.94351243689721e-12	5.083643034156886e-9	TRUE
A_23_P68691	54.54905681308786	-0.003266711849842265	0.040779030097214834	1.913419451113985e-9	3.908852427308986e-7	TRUE
A_24_P304881	146.39236824530758	-0.003273425863880471	0.040780422156926045	5.61568036782941e-13	6.395635974472383e-10	TRUE
A_32_P813412	126.80683190618167	-0.003277738325042549	0.04078088064036733	1.0624748889150593e-12	1.116960780654293e-9	TRUE
A_24_P928340	100.47777876428081	-0.0032777666023764765	0.04078078151120341	9.150538545957812e-12	6.468484144556384e-9	TRUE
A_24_P934184	135.58015310269403	-0.003282422578820054	0.040781478800489705	6.666815850750846e-13	7.387552699480668e-10	TRUE
A_32_P532738	117.6316585323096	-0.003282860477765609	0.04078104158741157	4.845091895429254e-10	1.3513521613102e-7	TRUE
A_32_P164503	84.57699259168112	-0.0033015701042105536	0.04078358609194153	3.697600469078908e-11	1.7425473474969567e-8	TRUE
A_24_P938025	82.52175183773203	-0.003312330335504812	0.04078523051324924	2.749254383807683e-9	5.194443766641244e-7	TRUE
A_23_P39315	43.72966944739128	-0.0033148785982191017	0.04078465459921519	8.066344223451169e-9	1.3595379536402766e-6	TRUE
A_24_P545587	113.24785699431114	-0.003330140601021009	0.04078724391987405	2.1675525005600463e-12	2.0667361051851604e-9	TRUE
A_24_P83928	80.17863034042551	-0.003331249300623139	0.04078719307131239	4.677454033394477e-11	2.0401661209486548e-8	TRUE
A_23_P211543	30.29831500291772	-0.0033368515611721487	0.04078804910677445	1.5666660341961035e-7	2.1060100787554177e-5	TRUE
A_24_P923909	19.29307085269271	-0.003337621029847071	0.04078774273920026	3.567776305664009e-6	4.0860007969895074e-4	TRUE
A_24_P857430	113.00037946899423	-0.0033386441559687063	0.04078829708735568	2.4921786673336e-12	2.2706516746817244e-9	TRUE
A_23_P323823	88.20562812282786	-0.0033527254420282547	0.04078965362759264	3.4163876185040725e-10	9.934176763026027e-8	TRUE
A_24_P921376	81.91927547083824	-0.0033560408959929255	0.04079027795106829	3.6454872905901875e-11	1.741062586246809e-8	TRUE
A_23_P1863	186.02018387675028	-0.0033919205531811026	0.040795111052747565	9.860317128082861e-15	2.412176679364839e-11	TRUE
A_24_P316555	10.677397748508282	-0.003417241978567968	0.04079746040778722	1.0156905144657705e-4	0.009132305064275568	TRUE
A_24_P924247	109.88452284262974	-0.0034302708834814725	0.040799764044965485	1.5518762665961145e-12	1.5518762665961145e-9	TRUE
A_24_P23546	63.92017486164408	-0.0034306555900797293	0.04080012061292702	2.9135415911487156e-10	8.783470973315982e-8	TRUE
A_32_P200303	181.95282532811171	-0.0034320295643604326	0.04080035509917944	1.0001708182732258e-14	2.412176679364839e-11	TRUE
A_32_P459529	104.98761685777704	-0.0034373882505846177	0.0408006469005519	2.2722257813431783e-12	2.117301296251598e-9	TRUE
A_24_P687465	68.8213571554196	-0.003444222908613988	0.040801253555934953	1.0568747485675016e-10	4.0879117633271285e-8	TRUE
